"country","help1","help2","help3","help4","help5","help6","help7","voice1","voice2","voice3","voice4","voice5","Y","help"
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.265518595920299
"BRA",5,5,5,5,5,5,5,5,5,5,5,5,5,-0.879053610361268
"BRA",6,7,7,7,6,6,5,5,6,5,6,5,6.28571428571429,0.614372150512202
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.03701053354569
"BRA",6,6,5,5,7,5,7,4,7,7,7,7,5.85714285714286,0.0459232348774622
"BRA",4,7,7,7,6,6,6,6,6,7,7,7,6.14285714285714,0.442287317798635
"BRA",5,5,5,5,6,6,5,6,5,6,6,5,5.28571428571429,-0.551765212972165
"BRA",4,5,5,5,5,5,4,4,4,4,4,4,4.71428571428571,-1.18438930655875
"BRA",5,5,6,6,5,5,5,5,5,5,5,5,5.28571428571429,-0.531772294076764
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.253046025382865
"BRA",5,7,7,7,7,7,7,7,7,7,6,5,6.71428571428571,1.06587175344473
"BRA",6,7,7,7,7,7,7,7,7,7,7,6,6.85714285714286,1.23075293899645
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.259886876856197
"BRA",7,7,7,7,7,7,7,7,7,7,7,7,7,1.40483739826885
"BRA",7,7,7,7,7,7,7,7,7,7,7,6,7,1.40791078085695
"BRA",4,4,5,5,5,5,5,5,5,5,5,5,4.71428571428571,-1.2006141367485
"BRA",4,4,5,5,5,5,5,5,5,5,5,5,4.71428571428571,-1.21090668594101
"BRA",5,5,5,5,5,5,5,5,5,5,5,5,5,-0.894618348609042
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.03427648190374
"BRA",3,3,3,3,3,3,3,3,3,3,3,3,3,-3.16728967795376
"BRA",5,5,5,5,5,5,5,5,5,5,5,5,5,-0.879946971604455
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.265518595920299
"BRA",3,3,5,4,4,4,4,4,4,4,4,4,3.85714285714286,-2.1616003268676
"BRA",3,3,3,3,3,3,3,3,3,3,3,3,3,-3.17413052942709
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.24777383632761
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.250507887969567
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.02489749301711
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.262445213332197
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.265518595920299
"BRA",5,5,5,5,5,5,5,5,5,5,5,5,5,-0.879053610361268
"BRA",3,3,3,3,3,3,3,3,3,3,3,3,3,-3.17413052942709
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.03701053354569
"BRA",3,4,4,4,3,4,4,4,4,4,4,4,3.71428571428571,-2.35917853490953
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.02489749301711
"BRA",5,5,5,5,5,5,5,5,5,5,5,5,5,-0.879946971604455
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.019265773953
"BRA",6,5,6,6,5,6,5,4,5,3,5,4,5.57142857142857,-0.20419832063074
"BRA",3,3,3,3,3,3,3,3,3,3,3,3,3,-3.17413052942709
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.03701053354569
"BRA",5,5,5,5,5,5,5,5,5,5,5,5,5,-0.891884296967085
"BRA",4,6,6,4,6,6,4,1,3,4,6,6,5.14285714285714,-0.686895201162504
"BRA",4,4,4,4,4,4,4,4,4,4,4,4,4,-2.02233915654111
"BRA",7,6,7,7,7,7,7,7,7,7,7,2,6.85714285714286,1.24849738837949
"BRA",2,5,5,5,5,5,5,5,5,5,5,5,4.57142857142857,-1.36549501209056
"BRA",6,6,6,6,6,7,7,6,2,6,6,2,6.28571428571429,0.563841448551756
"BRA",7,7,7,7,7,6,6,6,7,6,7,7,6.71428571428571,1.07937059809537
"BRA",3,7,7,7,7,7,7,5,7,7,7,7,6.42857142857143,0.74431153726716
"BRA",6,6,6,6,6,6,6,6,6,6,6,6,6,0.259886876856197
"BRA",6,6,5,6,6,5,6,4,3,5,6,6,5.71428571428571,-0.0843876210216118
"BRA",5,7,6,6,3,6,4,6,7,7,6,4,5.28571428571429,-0.516217070065351
"BRA",4,6,6,6,7,6,6,7,5,5,5,6,5.85714285714286,0.101799225851884
"BRA",5,2,4,6,6,6,2,5,4,5,5,5,4.42857142857143,-1.49104100260237
"BRA",6,6,6,6,6,6,6,6,6,5,6,6,6,0.24777383632761
"BRA",4,7,7,7,5,7,5,6,7,6,6,6,6,0.290211665719605
"BRA",6,7,7,7,7,7,7,7,7,6,7,7,6.85714285714286,1.24013192788308
"BRA",7,7,7,7,6,7,6,7,6,5,7,6,6.71428571428571,1.09671389554019
"BRA",2,4,3,6,5,3,4,6,6,4,7,7,3.85714285714286,-2.1958873140964
"BRA",6,6,7,6,6,7,6,6,6,5,5,5,6.28571428571429,0.610171408929192
"BRA",5,5,6,6,7,7,6,7,6,6,5,5,6,0.259667257627927
"BRA",6,6,6,6,6,6,7,7,6,6,6,7,6.14285714285714,0.39314241996024
"BRA",7,6,7,7,7,7,6,7,7,7,6,7,6.71428571428571,1.08811809679613
"BRA",6,7,6,6,6,5,5,7,7,7,7,6,5.85714285714286,0.10850484616477
"BRA",7,7,7,7,7,7,7,7,7,7,7,7,7,1.40483739826885
"BRA",5,5,5,5,5,6,5,5,5,5,4,5,5.14285714285714,-0.711446749480092
"BRA",6,6,6,6,6,6,5,5,5,6,6,6,5.85714285714286,0.117969990942753
"BRA",7,7,7,7,6,6,7,7,7,6,6,5,6.71428571428571,1.06725645168723
"BRA",6,5,4,3,6,5,5,4,4,3,6,3,4.85714285714286,-1.08287293335471
"BRA",4,5,4,5,5,4,3,3,4,5,6,4,4.28571428571429,-1.69160143249592
"BRA",4,6,6,6,5,5,4,4,5,4,5,5,5.14285714285714,-0.683326316860882
"BRA",6,7,7,7,6,6,5,5,6,6,6,6,6.28571428571429,0.623771338461534
"BRA",4,5,5,7,4,7,6,6,3,2,6,4,5.42857142857143,-0.393802736383084
"BRA",5,5,7,6,6,6,6,6,6,7,5,6,5.85714285714286,0.123184043005704
"BRA",7,7,6,6,6,6,6,6,6,6,7,7,6.28571428571429,0.574606551770093
"BRA",2,1,3,5,3,4,7,5,3,6,7,2,3.57142857142857,-2.58172482034634
"BRA",5,6,6,6,6,5,5,6,5,5,6,6,5.57142857142857,-0.222434669109088
"BRA",4,6,6,6,7,6,6,6,5,4,5,5,5.85714285714286,0.0983475281326975
"BRA",7,7,7,7,6,6,6,7,6,5,6,6,6.57142857142857,0.931287056003928
"BRA",6,6,6,6,6,7,6,7,6,7,7,7,6.14285714285714,0.430945435456559
"BRA",5,6,6,6,6,6,5,6,6,6,6,6,5.71428571428571,-0.0441771429670117
"BRA",7,7,7,6,4,7,7,7,7,7,7,7,6.42857142857143,0.741298131564472
"BRA",7,7,7,7,6,6,6,6,6,6,7,4,6.57142857142857,0.916615678999341
"BRA",7,7,7,7,7,7,7,1,1,1,7,7,7,1.39290007290622
"BRA",7,6,6,5,5,6,6,6,6,6,6,5,5.85714285714286,0.0934037702029762
"BRA",4,5,5,5,5,6,5,5,6,5,6,5,5,-0.876667265977959
"BRA",7,7,7,4,4,7,7,4,4,1,7,4,6.14285714285714,0.422020059167995
"BRA",6,5,7,7,7,7,7,5,4,3,7,7,6.57142857142857,0.924756840647344
"BRA",6,6,4,6,7,7,2,6,6,5,6,6,5.42857142857143,-0.363058540150463
"BRA",7,7,7,7,7,7,7,5,1,5,7,7,7,1.39016602126426
"BRA",6,7,7,6,4,7,6,7,5,6,5,6,6.14285714285714,0.431244276608779
"BRA",7,6,7,6,7,6,4,6,5,4,4,4,6.14285714285714,0.475457757414279
"BRA",6,7,6,7,6,7,6,6,6,5,6,7,6.42857142857143,0.753160766812875
"BRA",7,7,7,7,7,7,1,1,1,1,7,1,6.14285714285714,0.535699279061169
"BRA",5,5,5,5,5,5,5,5,4,4,4,5,5,-0.879053610361268
"BRA",5,7,7,6,7,7,7,7,6,6,6,6,6.57142857142857,0.905268621033032
"BRA",7,7,7,7,7,7,7,7,7,7,7,7,7,1.39016602126426
"BRA",7,7,7,7,7,7,7,7,7,7,7,7,7,1.39290007290622
"BRA",5,6,6,6,5,6,6,6,6,6,5,4,5.71428571428571,-0.065015176149597
"BRA",5,6,6,6,6,6,5,5,6,5,6,6,5.71428571428571,-0.0450705042101981
"BRA",6,7,7,7,6,7,7,7,6,7,6,6,6.71428571428571,1.08300872785116
"BRA",4,6,5,6,5,5,5,6,6,6,5,2,5.14285714285714,-0.715912030326614
"BRA",3,6,3,4,3,6,5,6,4,6,4,3,4.28571428571429,-1.7429973446537
